product_id,name_raw,name_cn,name_en
1162582,鲜牛乳生吐司 Milk Loaf,鲜牛乳生吐司,Milk Loaf
1162648,肉桂卷 Cinnamon Roll,肉桂卷,Cinnamon Roll
1162650,核桃蔓越莓恰巴塔 Walnut Cranberry Ciabatta,核桃蔓越莓恰巴塔,Walnut Cranberry Ciabatta
1162679,海盐羊角 Sea Salt Bread,海盐羊角,Sea Salt Bread
1162684,法式自然酵母酸面包 Sourdough,法式自然酵母酸面包,Sourdough
1162685,恰巴塔 Ciabatta,恰巴塔,Ciabatta
1162688,法棍 Baguette,法棍,Baguette
1162799,原味可颂 Croissant,原味可颂,Croissant
1162808,48%法芙娜黑巧酥皮卷 Chocolate Pastry,48%法芙娜黑巧酥皮卷,Chocolate Pastry
1162812,巴旦木可颂 Almond Crossiant,巴旦木可颂,Almond Crossiant
1162841,法式脆肠 French Sausage,法式脆肠,French Sausage
1162853,贝果 Bagel,贝果,Bagel
1162862,抹茶奶酪司康 Matcha Scone,抹茶奶酪司康,Matcha Scone
1162863,酸奶油香蕉蛋糕 Banana Cake,酸奶油香蕉蛋糕,Banana Cake
1162885,马萨拉酒提拉米苏 Tiramisu,马萨拉酒提拉米苏,Tiramisu
1162910,拿铁 Latte,拿铁,Latte
1162911,美式 Americano,美式,Americano
1162920,澳白 Flat White,澳白,Flat White
1162921,卡布奇诺 Cappuccino,卡布奇诺,Cappuccino
1162923,意式浓缩 Espresso,意式浓缩,Espresso
1162928,巧克力 Hot Chocolate,巧克力,Hot Chocolate
1163012,圣培露气泡水 S.pellegrino Sparkling,圣培露气泡水,S.pellegrino Sparkling
1163019,关于产品,关于产品,
1163020,关于冰量,关于冰量,
1163022,关于配送,关于配送,
1163023,关于包装,关于包装,
1170767,枫糖吐司 Maple Toast,枫糖吐司,Maple Toast
1172443,伯爵红茶 Earl Gray Tea,伯爵红茶,Earl Gray Tea
1172447,英式早餐茶 English Breakfast Tea,英式早餐茶,English Breakfast Tea
1172450,柠檬红茶 Lemon Black Tea,柠檬红茶,Lemon Black Tea
1172455,牛奶 Milk,牛奶,Milk
1214245,意式咖啡豆(1kg) Coffee Bean,意式咖啡豆(1,kg) Coffee Bean
1214256,燕麦奶 Oat Milk,燕麦奶,Oat Milk
1241643,Dirty,,Dirty
1429648,切达奶酪火腿可颂 Cheddar Cheese Ham Crossiant,切达奶酪火腿可颂,Cheddar Cheese Ham Crossiant
1441503,生椰拿铁 Coconut Latte,生椰拿铁,Coconut Latte
1511438,番茄罗勒芝士恰巴塔 Tomato Basil Cheese Ciabatta,番茄罗勒芝士恰巴塔,Tomato Basil Cheese Ciabatta
1722218,企业大额订单指南,企业大额订单指南,
1732199,1/2恰巴塔（含生菜番茄）1/2Ciabatta,1/2恰巴塔（含生菜番茄）1/2,Ciabatta
1732201,整个恰巴塔（含生菜番茄）Ciabatta,整个恰巴塔（含生菜番茄）,Ciabatta
2032937,冠利鸡尾青瓜仔,冠利鸡尾青瓜仔,
2116009,全麦提子干吐司 Wholegrain Raisins Toast,全麦提子干吐司,Wholegrain Raisins Toast
2132983,DRUNK BAKER 浑浊IPA啤酒,浑浊IPA啤酒,DRUNK BAKER
2237272,东魁杨梅山楂气泡水 Waxberry Hawthorn Sparkling Juice,东魁杨梅山楂气泡水,Waxberry Hawthorn Sparkling Juice
2289736,黑钻菠萝百香果气泡水 Pineapple Passion Fruit Sparkling Juice,黑钻菠萝百香果气泡水,Pineapple Passion Fruit Sparkling Juice
2303842,庆祝同事养狗，单球11块9(蛋筒),庆祝同事养狗，单球11块9(蛋筒),
2303849,庆祝同事养狗，单球9块9(纸碗),庆祝同事养狗，单球9块9(纸碗),
2321861,陕西巨峰葡萄气泡水 Grape Sparkling Juice,陕西巨峰葡萄气泡水,Grape Sparkling Juice
2440345,黄芥末香肠碱水 Yellow Mustard Seed Sausage Brezen,黄芥末香肠碱水,Yellow Mustard Seed Sausage Brezen
2523184,酸梅石榴气泡水 Sour Plum Pomegranate Sparkling Juice,酸梅石榴气泡水,Sour Plum Pomegranate Sparkling Juice
2543748,梅干菜猪肉干恰巴塔 Dried-vege Pork Jerky Ciabatta,梅干菜猪肉干恰巴塔,Dried-vege Pork Jerky Ciabatta
2566983,菠萝康普茶 Pineapple Kombucha,菠萝康普茶,Pineapple Kombucha
2585938,伯爵茶手撕面包 Earl Gray Bread,伯爵茶手撕面包,Earl Gray Bread
2597118,南瓜奶酪碱水 Pumpkin Cheese Brezen,南瓜奶酪碱水,Pumpkin Cheese Brezen
2623281,帆布袋,帆布袋,
